iter	RMSE
0	0.07862679272
1	0.07861648833
2	0.07860617034
3	0.07859612896
4	0.07858729515
5	0.07857763371
6	0.07856833811
7	0.07856013484
8	0.07855193552
9	0.07854357603
10	0.07853569932
11	0.07852726912
12	0.07852023877
13	0.07851310445
14	0.07850609201
15	0.078498684
16	0.0784918869
17	0.07848514018
18	0.07847912834
19	0.07847216756
20	0.07846584551
21	0.0784606016
22	0.07845414497
23	0.07844854568
24	0.07844287857
25	0.07843797764
26	0.0784327548
27	0.0784275992
28	0.07842250336
29	0.07841575657
30	0.07841017662
31	0.07840449764
32	0.07839995261
33	0.07839483014
34	0.07839015287
35	0.07838266869
36	0.07837790643
37	0.07837163035
38	0.07836676878
39	0.07836262002
40	0.07835799238
41	0.07835389472
42	0.07835016859
43	0.07834380335
44	0.07834008157
45	0.078335884
46	0.07833162629
47	0.07832713892
48	0.078322261
49	0.07831748841
50	0.07831256334
51	0.07830857754
52	0.07830480571
53	0.07830025803
54	0.07829642996
55	0.07829256357
56	0.07828922497
57	0.07828436205
58	0.07828074873
59	0.07827627446
60	0.07827284988
61	0.07826759909
62	0.07826349458
63	0.07826057434
